PH,HAAysDH04985,HAAysDH09221,HAAysDH06580,HAAysDH01247,HAAysDH08383,HAAysDH01767,HAAysDH07250,BAR0321-3A,HAAysDH09823,HAAysDH04809,HAAysDH04810,HAAysDH01051,HAAysDH01760,HAAysDH10432,HAAysDH04154,HAAysDH02283,HAAysDH04298,HAAysDH04942,HAAysDH00556,HAAysDH05410,HAAysDH09365,HAAysDH02656,HAAysDH02189,HAAysDH04568,HAAysDH03483,HAAysDH00165,HAAysDH06030,HAAysDH08182,HAAysDH07113,HAAysDH06812,HAAysDH01020,HAAysDH00453,HAAysDH01089,HAAysDH04585,HAAysDH05331,HAAysDH08705,HAAysDH01821,HAAysDH02190,HAAysDH08615,HAAysDH04672,HAAysDH08235,HAAysDH09438,HAAysDH03919,HAAysDH09600,HAAysDH06012,HAAysDH09761,HAAysDH02636,HAAysDH07952,HAAysDH08203
,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,0,1.469,2.228,2.854,2.871,2.875,2.876,3.033,3.164,3.165,3.167,3.21,3.418,3.531,3.787,4.289,5.795,40.129,40.531,40.857,41.008,43.286,45.33,45.341,45.488,45.492,45.578,45.618,45.621,45.65,45.651,45.736,45.744,45.77,45.798,45.799,46.748,46.754,52.524,56.365,56.779,56.854,57.654,57.822,60.388,60.663,60.708,69.21,69.581
0.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0.16,AA,-,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,-,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,-,AA
0.89,-,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,-,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB
-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.33,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
0.17,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,-,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AA
0.16,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,-,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.15,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.79,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
0.88,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB
0.12,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA
0.59,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
0.08,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.22,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,-,-,AA,-,AA,AA,AA,AA,AA,AA
0.1,AA,-,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA
-,-,AB,AB,-,-,AB,AB,AB,-,-,-,-,AB,-,-,-,-,AA,-,AA,AA,-,-,AA,AA,-,-,AA,AA,-,AA,AA,AA,AA,AA,AA,-,-,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA
0.19,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.76,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AB,AB,AB,AB,AB,AB,AB,AB,-,AB
0.6,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB
0.27,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
-,AB,AB,AB,-,-,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,-,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB
0.62,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA
0.16,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
0.23,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,-,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.29,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.23,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,-,AA,AA,AA,-,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,-,-,AA,AA,AA,AA,AA,AA
0.45,AB,AB,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AB,AB,-,AB,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AB,AA,AA,AA,AA,-,AA,AA,AA,AA,AA
0.89,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
0.52,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.66,AB,AB,AB,-,AB,-,AB,AB,-,AB,AB,AB,-,AB,-,-,-,AA,AA,-,AA,AB,-,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,AB
0.87,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA
-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AA,AA,AA,AA,-,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,-,AB,AB,-,AB,AB,AB,AB,AB,AB,AB
0.65,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,AB,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.46,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,-,-,AB,AB,AB,AB,AB,AB,AB,AA,AA
0.24,AA,AA,AA,-,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.18,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,-,AB,AB,AB,-,AA,AA,AA,AA,AA,AA,AA,AA,AA,AA
0.89,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,-,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
